time,segment_id,amplitude,y
110,Control,5.0,0.110045680199911
111,Control,5.0,1.979085879728407
112,Control,5.0,4.958062097290075
113,Control,5.0,4.976345959453083
114,Control,5.0,3.6274857771424136
115,Control,5.0,0.34466919313854777
116,Control,5.0,-3.51344837155529
117,Control,5.0,-4.567428692187949
118,Control,5.0,-4.501648403606705
119,Control,5.0,-3.5581843189693494
120,Control,5.0,-0.06411319356372938
121,Control,5.0,2.4375010548220484
122,Control,5.0,4.2885356464939814
123,Control,5.0,4.398954082461028
124,Control,5.0,2.683907587847042
125,Control,5.0,0.25522959973963677
126,Control,5.0,-3.359467986618718
127,Control,5.0,-4.784498630129635
128,Control,5.0,-5.4093246823542085
129,Control,5.0,-2.774880194170013
130,Control,5.0,0.6249208956958622
131,Control,5.0,3.1072337295042973
132,Control,5.0,4.920232457713838
133,Control,5.0,4.292622783602457
134,Control,5.0,2.6267293902814886
135,Control,5.0,-0.46967428832073066
136,Control,5.0,-2.060835853532277
137,Control,5.0,-4.921956593542284
138,Control,5.0,-4.642566352133282
139,Control,5.0,-3.1959653201126055
140,Control,5.0,0.02394092304677422
141,Control,5.0,2.258060395792531
142,Control,5.0,4.493747030482187
143,Control,5.0,4.767982492053945
144,Control,5.0,2.8181709091886016
145,Control,5.0,0.38269979531036225
146,Control,5.0,-2.7748924270349966
147,Control,5.0,-5.436520803268397
148,Control,5.0,-4.821899076579799
149,Control,5.0,-1.6566373117790287
150,Control,5.0,0.1966582118475405
151,Control,5.0,1.9766453804006283
152,Control,5.0,4.569170624709407
153,Control,5.0,4.9349587999895705
154,Control,5.0,2.855169962485682
155,Control,5.0,-0.003927874040297169
156,Control,5.0,-2.899756173457972
157,Control,5.0,-4.510541492108567
158,Control,5.0,-5.002017862702067
159,Control,5.0,-3.209561996296028
160,Control,5.0,0.3231673853823434
161,Control,5.0,3.3179292041946873
162,Control,5.0,3.7291349049633222
163,Control,5.0,4.5289248037896535
164,Control,5.0,3.07699544909182
165,Control,5.0,0.23076307906269142
166,Control,5.0,-3.913506339214937
167,Control,5.0,-4.765187238993416
168,Control,5.0,-3.797709740861359
169,Control,5.0,-1.981929779217261
170,Control,5.0,0.7844121474752835
171,Control,5.0,3.8844640324287223
172,Control,5.0,4.613953851091606
173,Control,5.0,4.6841803696015605
174,Control,5.0,2.162171478955127
175,Control,5.0,-0.3791250056821927
176,Control,5.0,-2.42773219590642
177,Control,5.0,-5.383156505470228
178,Control,5.0,-5.9816478274407014
179,Control,5.0,-3.350681926157919
180,Control,5.0,0.46875776891818094
181,Control,5.0,2.1849484352609667
182,Control,5.0,5.22974995169083
183,Control,5.0,4.652725431333087
184,Control,5.0,3.562534310507105
185,Control,5.0,-0.3318016728874011
186,Control,5.0,-3.2163174766799583
187,Control,5.0,-4.84505184407285
188,Control,5.0,-4.228022103019434
189,Control,5.0,-2.8494338344327517
190,Control,5.0,-0.3889262346842392
191,Control,5.0,3.4686830526264125
192,Control,5.0,5.57132401117581
193,Control,5.0,4.484763615682485
194,Control,5.0,2.4775282236655434
195,Control,5.0,0.15155319762261543
196,Control,5.0,-2.394786905909455
197,Control,5.0,-5.102134957225135
198,Control,5.0,-5.2471520503891975
199,Control,5.0,-2.3705921981109155
200,Control,5.0,0.17955273019744752
201,Control,5.0,2.8793275658566433
202,Control,5.0,4.063698647687872
203,Control,5.0,4.491470256548231
204,Control,5.0,2.9483739836581324
205,Control,5.0,-0.11399431694401087
206,Control,5.0,-4.271394499172897
207,Control,5.0,-4.079733973146196
208,Control,5.0,-4.749118091336928
209,Control,5.0,-2.3887178250576593
210,Control,5.0,0.6618548857970169
211,Control,5.0,2.4332850265312795
212,Control,5.0,4.812570366807936
213,Control,5.0,4.321302532882887
214,Control,5.0,2.551225761929663
215,Control,5.0,-0.28988007070507776
216,Control,5.0,-1.8716733075212102
217,Control,5.0,-4.6649290546743485
218,Control,5.0,-4.596464040426164
219,Control,5.0,-3.568402934023276
220,Control,5.0,-0.04475712012364995
221,Control,5.0,2.4631865585787214
222,Control,5.0,5.680098581572491
223,Control,5.0,5.228955467469355
224,Control,5.0,2.185868187528573
225,Control,5.0,-0.32750154750603355
226,Control,5.0,-2.7737082841172733
227,Control,5.0,-4.74498705338896
228,Control,5.0,-5.338541941759002
229,Control,5.0,-2.8921813661970366
230,Control,5.0,0.033297869468038616
231,Control,5.0,2.9700173818518825
232,Control,5.0,3.6230093247095283
233,Control,5.0,4.555739276447289
234,Control,5.0,3.5744481203217324
235,Control,5.0,0.565623143869994
236,Control,5.0,-3.5188182304352877
237,Control,5.0,-5.083454195310099
238,Control,5.0,-5.294504541707528
239,Control,5.0,-2.3576262101352174
240,Control,5.0,0.025183715808599953
241,Control,5.0,3.125657817145428
242,Control,5.0,3.9608412145495633
243,Control,5.0,3.8926168304804314
244,Control,5.0,3.660275565010615
245,Control,5.0,0.11104782406615889
246,Control,5.0,-3.2326483628896536
247,Control,5.0,-4.733761432920873
248,Control,5.0,-4.372925486996862
249,Control,5.0,-2.967778486113316
250,Control,5.0,-0.27194142738724486
251,Control,5.0,2.7267184647461242
252,Control,5.0,4.143362058802475
253,Control,5.0,5.053720109298505
254,Control,5.0,2.8468132306045426
255,Control,5.0,0.5917821653350689
256,Control,5.0,-2.247492942943829
257,Control,5.0,-4.979663637305313
258,Control,5.0,-5.681367713676946
259,Control,5.0,-2.9329052753145874
260,Control,5.0,0.3679394873770669
261,Control,5.0,2.783979749724646
262,Control,5.0,4.632680659985825
263,Control,5.0,4.824607277650883
264,Control,5.0,3.1397187199034473
265,Control,5.0,-0.263518325065866
266,Control,5.0,-3.019125807289568
267,Control,5.0,-4.964212124708811
268,Control,5.0,-5.1012043624263
269,Control,5.0,-2.7104638260745153
270,Control,5.0,-0.096611786580836
271,Control,5.0,3.1598774191475028
272,Control,5.0,4.29349093380311
273,Control,5.0,5.7539374812925805
274,Control,5.0,3.3405556959135536
275,Control,5.0,-0.35501083699505875
276,Control,5.0,-3.628764921378049
277,Control,5.0,-5.553859483816336
278,Control,5.0,-4.922695091727663
279,Control,5.0,-2.6850293765092665
280,Control,5.0,-0.2014085140237886
281,Control,5.0,2.0667856101863205
282,Control,5.0,4.709906307008599
283,Control,5.0,4.421688448925672
284,Control,5.0,2.2704383437414135
285,Control,5.0,-0.6239918450380387
286,Control,5.0,-3.5167514943574947
287,Control,5.0,-3.950105225785401
288,Control,5.0,-4.632986724537672
289,Control,5.0,-3.9462779901714016
290,Control,5.0,0.46808644725013143
291,Control,5.0,2.9300950430517334
292,Control,5.0,4.64832325903673
293,Control,5.0,4.789337954696493
294,Control,5.0,3.0496607522698143
295,Control,5.0,0.6728535861601632
296,Control,5.0,-3.310456398992706
297,Control,5.0,-5.132198025843144
298,Control,5.0,-5.412966296257964
299,Control,5.0,-3.3683608437830888
300,Experiment,12.5,0.3530204585198264
301,Experiment,12.5,7.098226901916823
302,Experiment,12.5,11.785690743098447
303,Experiment,12.5,11.348182227815938
304,Experiment,12.5,6.578849427907212
305,Experiment,12.5,-0.37838641465400774
306,Experiment,12.5,-7.040784902107274
307,Experiment,12.5,-11.321343381252863
308,Experiment,12.5,-11.69986921283052
309,Experiment,12.5,-6.976155109305526
310,Experiment,12.5,-0.4901791731320049
311,Experiment,12.5,7.4779813184243205
312,Experiment,12.5,11.699783362203792
313,Experiment,12.5,12.008714814438617
314,Experiment,12.5,7.67669754416546
315,Experiment,12.5,0.12433882197581607
316,Experiment,12.5,-6.87297473833386
317,Experiment,12.5,-11.874325712446948
318,Experiment,12.5,-11.20452767330546
319,Experiment,12.5,-7.744781572250317
320,Experiment,12.5,0.4349985496597012
321,Experiment,12.5,7.763894965116465
322,Experiment,12.5,11.436027230195078
323,Experiment,12.5,11.80074304797418
324,Experiment,12.5,7.454445944969385
325,Experiment,12.5,-1.237620926788394
326,Experiment,12.5,-8.006496850117323
327,Experiment,12.5,-11.980151434559883
328,Experiment,12.5,-11.555483545490286
329,Experiment,12.5,-6.757177915006332
330,Experiment,12.5,0.1409052232349063
331,Experiment,12.5,7.0839493793484305
332,Experiment,12.5,12.761437011090024
333,Experiment,12.5,11.539181317090325
334,Experiment,12.5,6.742310430769306
335,Experiment,12.5,-0.06682651283224231
336,Experiment,12.5,-7.415371068933173
337,Experiment,12.5,-12.458424362842102
338,Experiment,12.5,-12.172243321658108
339,Experiment,12.5,-7.36462653844166
340,Experiment,12.5,0.2790088246870874
341,Experiment,12.5,7.286951343028016
342,Experiment,12.5,12.352853496630617
343,Experiment,12.5,11.925847077236398
344,Experiment,12.5,7.053024847082068
345,Experiment,12.5,-0.0010163577498738237
346,Experiment,12.5,-7.372323591682485
347,Experiment,12.5,-12.251966575750881
348,Experiment,12.5,-11.243819470096213
349,Experiment,12.5,-7.311261621011809
350,Experiment,12.5,-0.3916541910358024
351,Experiment,12.5,6.437534269411642
352,Experiment,12.5,12.31928592272768
353,Experiment,12.5,10.709657441200235
354,Experiment,12.5,6.957421927228908
355,Experiment,12.5,0.06277741729613287
356,Experiment,12.5,-6.330606225268998
357,Experiment,12.5,-11.864291591279292
358,Experiment,12.5,-12.229160329103781
359,Experiment,12.5,-7.385072197274674
360,Experiment,12.5,-0.40949417807035016
361,Experiment,12.5,7.9382115321375535
362,Experiment,12.5,12.491550485069084
363,Experiment,12.5,11.733770633448735
364,Experiment,12.5,8.045744289776039
365,Experiment,12.5,-0.5447442435018113
366,Experiment,12.5,-7.428584161439065
367,Experiment,12.5,-11.960445615040411
368,Experiment,12.5,-13.028245818702494
369,Experiment,12.5,-7.214419679754667
370,Experiment,12.5,-0.574853821667137
371,Experiment,12.5,7.759060106705239
372,Experiment,12.5,11.602826906117544
373,Experiment,12.5,11.629649060868264
374,Experiment,12.5,7.130741750235139
375,Experiment,12.5,0.5501752221689807
376,Experiment,12.5,-7.428507788748361
377,Experiment,12.5,-12.293008377239808
378,Experiment,12.5,-12.250623642922772
379,Experiment,12.5,-7.716295647700586
380,Experiment,12.5,0.41944408367843733
381,Experiment,12.5,7.820567816701971
382,Experiment,12.5,11.737281064922339
383,Experiment,12.5,12.046362821748703
384,Experiment,12.5,7.856063563555829
385,Experiment,12.5,0.05819637319407596
386,Experiment,12.5,-6.982746426197156
387,Experiment,12.5,-11.932344521745323
388,Experiment,12.5,-11.902093967782688
389,Experiment,12.5,-7.636878585520672
390,Experiment,12.5,-0.5054176499498882
391,Experiment,12.5,7.543051140560076
392,Experiment,12.5,11.645873579783027
393,Experiment,12.5,12.594205340474351
394,Experiment,12.5,8.129622734084784
395,Experiment,12.5,-0.4888745636086418
396,Experiment,12.5,-7.279596487642797
397,Experiment,12.5,-12.144400052475376
398,Experiment,12.5,-12.533108947016068
399,Experiment,12.5,-7.669855119455243
